model,subset,eval_protocol,num_queries,num_candidates,recall_at_1,recall_at_10,recall_at_100,median_rank
BiLSTM,all_queries,by_definition_split,24792,108839,0.02920296869958051,0.15214585350112939,0.4440141981284285,143.0
BiLSTM,headword_not_in_definition,by_definition_split,19801,108839,0.027826877430432807,0.14777031463057422,0.4344730064138175,150.0
